source_key,size_ml,variant_type,currency,sku,barcode,retail_price_minor,cost_minor,opening_stock,reorder_level,availability_intent,stock_status,launch_scope,approval_status,review_notes
main_list:1,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:1,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:1,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:2,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:2,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:2,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:3,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:3,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:3,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:4,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:4,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:4,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:5,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:5,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:5,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:6,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:6,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:6,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:7,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:7,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:7,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:8,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:8,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:8,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:9,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:9,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:9,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:10,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:10,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:10,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:11,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:11,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:11,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:12,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:12,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:12,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:13,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:13,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:13,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:14,30,bottle,INR,,,60000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:14,50,bottle,INR,,,80000,,,,available,count_pending,selected,needs_sku_cost_stock,
main_list:14,100,bottle,INR,,,140000,,,,available,count_pending,selected,needs_sku_cost_stock,
