source_key,category,source_name,proposed_public_name,public_slug,name_approval_status,reference_brand,reference_fragrance,legal_review_status,counsel_decision,counsel_conditions,evidence_reference
main_list:1,inspired_collection,Bvlgari Tygar,Inspired by Bvlgari Tygar,inspired-by-bvlgari-tygar,listing_title_recorded,Bvlgari,Tygar,india_counsel_pending,,,
main_list:2,inspired_collection,Dior Sauvage,Inspired by Dior Sauvage,inspired-by-dior-sauvage,listing_title_recorded,Dior,Sauvage family,india_counsel_pending,,,
main_list:3,inspired_collection,Louis Vuitton Afternoon Swim,Inspired by Louis Vuitton Afternoon Swim,inspired-by-louis-vuitton-afternoon-swim,listing_title_recorded,Louis Vuitton,Afternoon Swim,india_counsel_pending,,,
main_list:4,inspired_collection,Green Creed,Inspired by Creed Green Irish Tweed,inspired-by-creed-green-irish-tweed,listing_title_recorded,Creed,Green Irish Tweed,india_counsel_pending,,,COM-ADR-033
main_list:5,inspired_collection,Creed Aventus,Inspired by Creed Aventus,inspired-by-creed-aventus,listing_title_recorded,Creed,Aventus,india_counsel_pending,,,
main_list:6,inspired_collection,Hawas for Him,Inspired by Rasasi Hawas for Him,inspired-by-rasasi-hawas-for-him,listing_title_recorded,Rasasi,Hawas for Him,india_counsel_pending,,,
main_list:7,inspired_collection,Elysium Roja,Inspired by Roja Parfums Elysium Pour Homme,inspired-by-roja-parfums-elysium-pour-homme,listing_title_recorded,Roja Parfums,Elysium Pour Homme family,india_counsel_pending,,,
main_list:8,inspired_collection,Emporio Armani Stronger With You,Inspired by Emporio Armani Stronger With You,inspired-by-emporio-armani-stronger-with-you,listing_title_recorded,Emporio Armani,Stronger With You family,india_counsel_pending,,,
main_list:9,inspired_collection,Hudson Valley,Inspired by Gissah Hudson Valley,inspired-by-gissah-hudson-valley,listing_title_recorded,Gissah,Hudson Valley,india_counsel_pending,,,
main_list:10,unknown_collection,Heaven Rose,Heaven Rose,heaven-rose,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:11,inspired_collection,Gucci Flora,Inspired by Gucci Flora,inspired-by-gucci-flora,listing_title_recorded,Gucci,Flora family,india_counsel_pending,,,COM-ADR-033
main_list:12,inspired_collection,YSL Y,Inspired by Yves Saint Laurent Y,inspired-by-yves-saint-laurent-y,listing_title_recorded,Yves Saint Laurent,Y family,india_counsel_pending,,,COM-ADR-033
main_list:13,unknown_collection,Rose Elegance,Rose Elegance,rose-elegance,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:14,inspired_collection,Alexandria II,Inspired by Xerjoff Alexandria II,inspired-by-xerjoff-alexandria-ii,listing_title_recorded,Xerjoff,Alexandria II,india_counsel_pending,,,
main_list:15,inspired_collection,Aurum,Inspired by Ajmal Aurum,inspired-by-ajmal-aurum,listing_title_recorded,Ajmal,Aurum,india_counsel_pending,,,
main_list:16,inspired_collection,Black Afgano,Inspired by Nasomatto Black Afgano,inspired-by-nasomatto-black-afgano,listing_title_recorded,Nasomatto,Black Afgano,india_counsel_pending,,,
main_list:17,inspired_collection,Aqua Di Gio,Inspired by Giorgio Armani Acqua di Giò,inspired-by-giorgio-armani-acqua-di-gio,listing_title_recorded,Giorgio Armani,Acqua di Giò,india_counsel_pending,,,COM-ADR-033
main_list:18,inspired_collection,Azzaro Chrome,Inspired by Azzaro Chrome,inspired-by-azzaro-chrome,listing_title_recorded,Azzaro,Chrome,india_counsel_pending,,,COM-ADR-033
main_list:19,inspired_collection,Versace Pour Homme,Inspired by Versace Pour Homme,inspired-by-versace-pour-homme,listing_title_recorded,Versace,Pour Homme,india_counsel_pending,,,COM-ADR-033
main_list:20,unknown_collection,Hugo Boss,Hugo Boss,hugo-boss,owner_directed_temporary_name,,,trademark_clearance_pending,,,COM-ADR-033
main_list:21,inspired_collection,Polo Sport,Inspired by Ralph Lauren Polo Sport,inspired-by-ralph-lauren-polo-sport,listing_title_recorded,Ralph Lauren,Polo Sport,india_counsel_pending,,,COM-ADR-033
main_list:22,inspired_collection,Bleu de Chanel,Inspired by Chanel Bleu de Chanel,inspired-by-chanel-bleu-de-chanel,listing_title_recorded,Chanel,Bleu de Chanel,india_counsel_pending,,,COM-ADR-033
main_list:23,inspired_collection,Prada Luna,Inspired by Prada Luna Rossa,inspired-by-prada-luna-rossa,listing_title_recorded,Prada,Luna Rossa,india_counsel_pending,,,COM-ADR-033
main_list:24,inspired_collection,CK One,Inspired by Calvin Klein CK One,inspired-by-calvin-klein-ck-one,listing_title_recorded,Calvin Klein,CK One,india_counsel_pending,,,COM-ADR-033
main_list:25,inspired_collection,Rehab Blue,Inspired by Al-Rehab Blue,inspired-by-al-rehab-blue,listing_title_recorded,Al-Rehab,Blue,india_counsel_pending,,,COM-ADR-033
main_list:26,inspired_collection,Hawas Ice,Inspired by Rasasi Hawas Ice,inspired-by-rasasi-hawas-ice,listing_title_recorded,Rasasi,Hawas Ice,india_counsel_pending,,,COM-ADR-033
main_list:27,inspired_collection,Bvlgari Aqva,Inspired by Bvlgari Aqva Pour Homme,inspired-by-bvlgari-aqva-pour-homme,listing_title_recorded,Bvlgari,Aqva Pour Homme,india_counsel_pending,,,COM-ADR-033
main_list:28,inspired_collection,Polo Blue,Inspired by Ralph Lauren Polo Blue,inspired-by-ralph-lauren-polo-blue,listing_title_recorded,Ralph Lauren,Polo Blue,india_counsel_pending,,,COM-ADR-033
main_list:29,inspired_collection,Cool Water Women,Inspired by Davidoff Cool Water Woman,inspired-by-davidoff-cool-water-woman,listing_title_recorded,Davidoff,Cool Water Woman,india_counsel_pending,,,COM-ADR-033
main_list:30,inspired_collection,Cool Water,Inspired by Davidoff Cool Water,inspired-by-davidoff-cool-water,listing_title_recorded,Davidoff,Cool Water,india_counsel_pending,,,COM-ADR-033
