source_section,source_number,source_name,public_name,classification_status,launch_status,image_status,review_notes
main_list,1,Bvlgari Tygar,,unconfirmed,needs_review,missing,
main_list,2,Dior Sauvage,,unconfirmed,needs_review,missing,
main_list,3,Louis Vuitton Afternoon Swim,,unconfirmed,needs_review,missing,
main_list,4,Green Creed,,unconfirmed,needs_review,missing,
main_list,5,Creed Aventus,,unconfirmed,needs_review,missing,
main_list,6,Hawas for Him,,unconfirmed,needs_review,missing,
main_list,7,Elysium Roja,,unconfirmed,needs_review,missing,
main_list,8,Emporio Armani Stronger With You,,unconfirmed,needs_review,missing,
main_list,9,Hudson Valley,,unconfirmed,needs_review,missing,
main_list,10,Heaven Rose,,unconfirmed,needs_review,missing,
main_list,11,Gucci Flora,,unconfirmed,needs_review,missing,
main_list,12,YSL Y,,unconfirmed,needs_review,missing,
main_list,13,Rose Elegance,,unconfirmed,needs_review,missing,
main_list,14,Alexandria II,,unconfirmed,needs_review,missing,
main_list,15,Aurum,,unconfirmed,needs_review,missing,
main_list,16,Black Afgano,,unconfirmed,needs_review,missing,
main_list,17,Aqua Di Gio,,unconfirmed,needs_review,missing,
main_list,18,Azzaro Chrome,,unconfirmed,needs_review,missing,
main_list,19,Versace Pour Homme,,unconfirmed,needs_review,missing,
main_list,20,Hugo Boss,,unconfirmed,needs_review,missing,
main_list,21,Polo Sport,,unconfirmed,needs_review,missing,
main_list,22,Bleu de Chanel,,unconfirmed,needs_review,missing,
main_list,23,Prada Luna,,unconfirmed,needs_review,missing,
main_list,24,CK One,,unconfirmed,needs_review,missing,
main_list,25,Rehab Blue,,unconfirmed,needs_review,missing,
main_list,26,Hawas Ice,,unconfirmed,needs_review,missing,
main_list,27,Bvlgari Aqva,,unconfirmed,needs_review,missing,
main_list,28,Polo Blue,,unconfirmed,needs_review,missing,
main_list,29,Cool Water Women,,unconfirmed,needs_review,missing,
main_list,30,Cool Water,,unconfirmed,needs_review,missing,
main_list,31,Bright Crystal,,unconfirmed,needs_review,missing,
main_list,32,CR7,,unconfirmed,needs_review,missing,
main_list,33,Dunhill Icon,,unconfirmed,needs_review,missing,
main_list,34,Diptyque Tam Dao,,unconfirmed,needs_review,missing,
main_list,35,One Million Lucky,,unconfirmed,needs_review,missing,
main_list,36,CH 212 Men,,unconfirmed,needs_review,missing,
main_list,37,212 VIP Men,,unconfirmed,needs_review,missing,
main_list,38,Azzaro Most Wanted,,unconfirmed,needs_review,missing,
main_list,39,JPG Scandal,,unconfirmed,needs_review,missing,
